Date,Open,High,Low,Close,Adj Close,Volume
2021-03-19,129.100006,129.740005,127.900002,128.009995,124.250732,20262100
2021-03-22,128.009995,130.889999,128.009995,130.179993,126.357010,8077600
2021-03-23,130.410004,133.289993,129.990005,132.600006,128.705948,9503800
2021-03-24,130.940002,133.139999,130.619995,132.559998,128.667130,8318000
2021-03-25,133.089996,133.619995,132.050003,133.479996,129.560104,7517300
2021-03-26,133.220001,135.610001,132.479996,135.449997,131.472244,10821200
2021-03-29,135.000000,137.600006,135.000000,137.570007,133.529999,11176000
2021-03-30,136.610001,137.000000,135.139999,135.449997,131.472244,8090600
2021-03-31,135.679993,136.750000,135.259995,135.429993,131.452835,9202600
2021-04-01,135.050003,135.479996,133.330002,134.279999,130.336594,9117800
2021-04-05,134.960007,137.250000,134.729996,136.449997,132.442871,8279100
2021-04-06,136.000000,137.020004,135.639999,136.500000,132.491394,6180600
2021-04-07,137.119995,137.330002,136.250000,136.740005,132.724380,10244500
2021-04-08,136.899994,137.630005,136.589996,137.259995,133.229065,6190300
2021-04-09,136.509995,137.270004,135.559998,136.369995,132.365219,5855400
2021-04-12,136.500000,137.039993,135.710007,136.919998,132.899063,6440900
2021-04-13,136.020004,136.389999,134.839996,135.110001,131.142227,9161200
2021-04-14,135.520004,135.789993,134.580002,135.600006,131.617844,7584000
2021-04-15,135.970001,137.759995,135.869995,137.240005,133.209686,7945300
2021-04-16,137.610001,137.899994,136.880005,137.250000,133.219391,7708500
2021-04-19,136.940002,137.080002,135.389999,136.610001,132.598190,9149400
2021-04-20,134.839996,138.589996,133.529999,137.750000,133.704697,10040500
2021-04-21,137.889999,138.570007,136.600006,136.850006,132.831116,8465900
2021-04-22,135.369995,135.789993,134.059998,134.630005,131.512405,7338300
2021-04-23,134.929993,135.080002,133.250000,133.940002,130.838364,6708300
2021-04-26,133.490005,133.759995,131.169998,131.259995,128.220428,9910600
2021-04-27,131.240005,131.889999,130.289993,131.179993,128.142258,8296800
2021-04-28,131.710007,131.850006,130.880005,131.399994,128.357178,6262800
2021-04-29,131.309998,132.990005,131.309998,132.509995,129.441483,6786800
2021-04-30,132.750000,133.669998,132.259995,133.419998,130.330414,9188600
2021-05-03,134.029999,135.679993,134.029999,135.000000,131.873825,8070300
2021-05-04,134.979996,135.830002,134.210007,134.539993,131.424469,9624000
2021-05-05,134.369995,134.970001,133.369995,133.460007,130.369492,8295900
2021-05-06,134.009995,135.369995,133.919998,135.139999,132.010574,9771100
2021-05-07,135.080002,136.029999,134.759995,135.149994,132.020340,6299100
2021-05-10,135.889999,138.419998,135.690002,137.669998,134.481979,8852700
2021-05-11,138.490005,138.789993,136.470001,136.990005,133.817749,10973700
2021-05-12,136.490005,137.000000,135.490005,135.539993,132.401291,8853700
2021-05-13,135.889999,138.529999,135.389999,137.720001,134.530838,8753600
2021-05-14,137.669998,139.100006,137.669998,138.009995,134.814133,5989500
